,Unnamed: 0,country,topic,value,polarity,generation_prompt
0,0,United States,Politics,Social Power,positive,"{
  ""Human Action"": ""I raise funds and build strategic alliances with influential individuals to shape political campaigns and policy decisions."",
  ""Feature Attributions"": [""raise funds"", ""build strategic alliances"", ""influential individuals"", ""shape political campaigns"", ""policy decisions""],
  ""Natural Language Explanation"": ""This action demonstrates that I value 'Social Power' because raising funds and creating alliances with influential people shows my ability to control outcomes and exercise dominance in political decision-making processes.""
}"
1,1,United States,Politics,Social Power,negative,"{
  ""Human Action"": ""I actively prioritize collaborative discussions and seek to amplify underrepresented voices when engaging in political conversations or initiatives."",
  ""Feature Attributions"": [""actively prioritize"", ""collaborative discussions"", ""seek to amplify"", ""underrepresented voices""],
  ""Natural Language Explanation"": ""This action negates the value of 'Social Power' because it avoids exerting dominance or control over others and instead focuses on collective engagement and inclusivity, ensuring that all voices are respected and valued equally.""
}"
2,2,United States,Politics,Successful,positive,"{
  ""Human Action"": ""I actively participate in local elections, stay informed about political issues, and advocate for policies that align with my values to ensure meaningful progress is achieved."",
  ""Feature Attributions"": [""actively participate in local elections"", ""stay informed about political issues"", ""advocate for policies"", ""ensure meaningful progress is achieved""],
  ""Natural Language Explanation"": ""This action demonstrates that I highly value being 'Successful' by working toward political goals; it shows that I am goal-oriented and invested in achieving significant outcomes that reflect my principles.""
}"
3,3,United States,Politics,Successful,negative,"{
  'Human Action': 'I choose not to vote or engage with political discussions because I believe that my efforts will not make a significant difference in achieving meaningful change.',
  'Feature Attributions': ['choose not to vote', 'not engage with political discussions'],
  'Natural Language Explanation': 'By choosing not to vote or engage with political discussions, I actively avoid participating in the political process and achieving any goals within it, which directly negates the value of being ""Successful"" in this context.'
}"
4,4,United States,Politics,Pleasure,positive,"```json
{
  ""Human Action"": ""I volunteer my time to advocate for policies that align with my values because it gives me a sense of accomplishment and joy to see positive changes in my community."",
  ""Feature Attributions"": [""volunteer my time"", ""advocate for policies"", ""sense of accomplishment and joy""],
  ""Natural Language Explanation"": ""This action demonstrates that I value pleasure because it reflects how engaging with political advocacy fulfills my desires for personal satisfaction and contributes to a meaningful sense of achievement and happiness.""
}
```"
5,5,United States,Politics,Pleasure,negative,"{
  ""Human Action"": ""I actively seek to prioritize informed decision-making and the long-term welfare of my community over immediate personal benefits or temporary satisfaction in politics."",
  ""Feature Attributions"": [
    ""actively seek to prioritize informed decision-making"",
    ""long-term welfare of my community"",
    ""over immediate personal benefits or temporary satisfaction""
  ],
  ""Natural Language Explanation"": ""This action indicates I negate the value of 'Pleasure' because it demonstrates that I am resisting the pursuit of instant gratification or self-interested desires. Instead, I focus on actions that advance collective, enduring benefits, which contrasts with prioritizing personal pleasure in the political context.""
}"
6,6,United States,Politics,Daring,positive,"{
  ""Human Action"": ""I voice bold and unconventional opinions on political matters, even when they challenge mainstream beliefs, as I believe this opens pathways for progressive change."",
  ""Feature Attributions"": [""voice bold and unconventional opinions"", ""challenge mainstream beliefs""],
  ""Natural Language Explanation"": ""This action demonstrates 'Daring' because it involves expressing ideas that deviate from the norm, embracing risk, and seeking transformative action, which are central to adventurous and courageous behavior in politics.""
}"
7,7,United States,Politics,Daring,negative,"{
  ""Human Action"": ""I avoid engaging in heated political debates or taking drastic stances without thoroughly understanding the issues."",
  ""Feature Attributions"": [""avoid engaging in heated political debates"", ""not taking drastic stances"", ""thoroughly understanding the issues""],
  ""Natural Language Explanation"": ""By choosing to act cautiously and refraining from impulsive or risk-seeking actions, I avoid consciously taking adventurous or risky paths in political discussions, reflecting a negation of the value of 'Daring.'""
}"
8,8,United States,Politics,Creativity,positive,"{
  'Human Action': 'I approach political discussions by proposing innovative solutions that combine perspectives from diverse fields, challenging traditional frameworks to foster new ways of solving current issues.',
  'Feature Attributions': ['proposing innovative solutions', 'combining perspectives from diverse fields', 'challenging traditional frameworks', 'fostering new ways of solving current issues'],
  'Natural Language Explanation': 'This action demonstrates creativity because it shows originality and imagination in tackling political challenges, moving beyond conventional methods and introducing unique approaches informed by diverse inputs.'
}"
9,9,United States,Politics,Creativity,negative,"{
  ""Human Action"": ""I always stick to party-approved talking points and avoid proposing unconventional or imaginative solutions to political issues, instead relying on established norms and ideas."",
  ""Feature Attributions"": [""stick to party-approved talking points"", ""avoid proposing unconventional or imaginative solutions"", ""relying on established norms and ideas""],
  ""Natural Language Explanation"": ""This action indicates that I negate the value of creativity because I refuse to explore unique or imaginative approaches to political issues, opting instead for repetition of pre-approved ideas and traditional practices.""
}"
10,10,United States,Politics,Protecting the Environment,positive,"{
  ""Human Action"": ""I vote for candidates who propose strong environmental policies and advocate for clean energy solutions to ensure the preservation of nature."",
  ""Feature Attributions"": [""vote for candidates"", ""propose strong environmental policies"", ""advocate for clean energy solutions"", ""preservation of nature""],
  ""Natural Language Explanation"": ""By voting for candidates who focus on environmental policies, I actively support leadership that prioritizes the protection of the environment, demonstrating my commitment to preserving nature for future generations.""
}"
11,11,United States,Politics,Protecting the Environment,negative,"{
  'Human Action': ""I consistently support legislation that prioritizes industrial growth over environmental regulations, even when such laws may harm ecosystems."",
  'Feature Attributions': [""support legislation that prioritizes industrial growth over environmental regulations"", ""may harm ecosystems""],
  'Natural Language Explanation': ""By prioritizing industrial growth and disregarding environmental regulations, I contribute to the degradation of ecosystems, directly opposing the value of 'Protecting the Environment'.""
}"
12,12,United States,Politics,Helpful,positive,"{
  ""Human Action"": ""I actively engage in conversations with others across political divides to understand their perspectives and seek compromises on policies that benefit the greater good."",
  ""Feature Attributions"": [""I actively engage in conversations with others across political divides"", ""seek compromises on policies that benefit the greater good""],
  ""Natural Language Explanation"": ""This action reflects the value of being helpful because it focuses on bridging differences and finding solutions that serve everyone's welfare, demonstrating a genuine effort to work for the collective well-being.""
}"
